,CustomerID,ProdTaken,TypeofContact,CityTier,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome_median,DurationOfPitch_mean,Age_mean
0,200000,1,Self Enquiry,3,Salaried,Female,3,3.0,Deluxe,3.0,Single,1.0,1,2,1,0.0,Manager,20993.0,6.0,41.0
1,200001,0,Company Invited,1,Salaried,Male,3,4.0,Deluxe,4.0,Divorced,2.0,0,3,1,2.0,Manager,20130.0,14.0,49.0
2,200002,1,Self Enquiry,1,Free Lancer,Male,3,4.0,Basic,3.0,Single,7.0,1,3,0,0.0,Executive,17090.0,8.0,37.0
3,200003,0,Company Invited,1,Salaried,Female,2,3.0,Basic,3.0,Divorced,2.0,1,5,1,1.0,Executive,17909.0,9.0,33.0
4,200004,0,Self Enquiry,1,Small Business,Male,2,3.0,Basic,4.0,Divorced,1.0,0,5,1,0.0,Executive,18468.0,8.0,33.08590047393365
5,200005,0,Company Invited,1,Salaried,Male,3,3.0,Basic,3.0,Single,1.0,0,5,1,1.0,Executive,18068.0,8.0,32.0
6,200006,0,Self Enquiry,1,Small Business,Female,2,2.0,Basic,5.0,Divorced,5.0,1,2,1,1.0,Executive,17670.0,9.0,59.0
7,200007,0,Self Enquiry,1,Salaried,Male,3,3.0,Basic,3.0,Married,2.0,0,2,0,1.0,Executive,17693.0,30.0,30.0
8,200008,0,Company Invited,1,Salaried,Male,2,4.0,Standard,3.0,Unmarried,1.0,0,3,0,0.0,Senior Manager,24526.0,29.0,38.0
9,200009,0,Self Enquiry,1,Small Business,Male,3,3.0,Deluxe,3.0,Divorced,7.0,0,3,1,0.0,Manager,20237.0,33.0,36.0
10,200010,0,Self Enquiry,1,Small Business,Male,2,2.0,Basic,4.0,Divorced,1.0,0,3,1,1.0,Executive,17426.0,22.0,35.0
11,200011,0,Self Enquiry,1,Salaried,Female,2,4.0,Deluxe,3.0,Single,1.0,1,3,0,0.0,Manager,22347.0,21.0,37.43459657701712
12,200012,0,Self Enquiry,1,Salaried,Male,2,3.0,Basic,3.0,Married,2.0,0,3,0,1.0,Executive,17911.0,32.0,31.0
13,200013,0,Self Enquiry,1,Small Business,Male,3,3.0,Basic,3.0,Married,1.0,0,3,0,2.0,Executive,17661.0,25.0,34.0
14,200014,1,Self Enquiry,1,Salaried,Male,2,4.0,Basic,3.0,Single,6.0,1,2,0,0.0,Executive,17028.0,30.0,28.0
15,200015,0,Self Enquiry,1,Salaried,Female,2,2.0,Standard,5.0,Married,2.0,0,5,1,1.0,Senior Manager,24980.0,27.0,29.0
16,200016,0,Self Enquiry,1,Salaried,Male,3,2.0,Basic,4.0,Married,1.0,1,2,1,0.0,Executive,18298.0,11.0,32.0
17,200017,0,Company Invited,1,Small Business,Male,3,2.0,Basic,3.0,Married,2.0,1,3,0,0.0,Executive,17935.0,22.0,22.0
18,200018,0,Self Enquiry,3,Salaried,Female,3,4.0,Super Deluxe,3.0,Divorced,3.0,0,3,1,0.0,AVP,30427.0,8.0,53.0
19,200019,0,Self Enquiry,1,Salaried,Male,2,3.0,Basic,3.0,Single,6.0,1,4,0,1.0,Executive,22347.0,8.0,33.08590047393365
20,200020,0,Company Invited,1,Salaried,Female,3,2.0,Deluxe,3.0,Married,1.0,0,3,1,2.0,Manager,22347.0,17.0,37.43459657701712
21,200021,1,Self Enquiry,3,Salaried,Male,2,4.0,Deluxe,5.0,Single,1.0,0,2,0,0.0,Manager,18407.0,15.0,37.43459657701712
22,200022,0,Self Enquiry,1,Salaried,Fe Male,2,3.0,Standard,4.0,Unmarried,1.0,0,3,1,0.0,Senior Manager,26994.0,13.0,34.0
23,200023,0,Self Enquiry,1,Salaried,Male,3,3.0,Basic,3.0,Single,2.0,0,3,1,1.0,Executive,16232.0,21.0,21.0
24,200024,1,Self Enquiry,1,Small Business,Male,2,3.0,Basic,5.0,Single,3.0,0,2,1,1.0,Executive,17960.0,12.0,34.0
25,200025,0,Self Enquiry,1,Salaried,Female,2,3.0,King,3.0,Married,5.0,0,5,0,1.0,VP,34094.0,11.0,53.0
26,200026,1,Company Invited,1,Salaried,Female,3,5.0,Basic,5.0,Single,2.0,1,4,1,2.0,Executive,22347.0,22.0,33.08590047393365
